title,level
Choose number of shown hierarchy levels in File: Open Recent...,Lowest
Ability to switch to previous behavior on 1.52.0 'Preview editor improvements',Lowest
Snippet extendibility,Lowest
Ability to specify settings on per path basis,Lowest
Terminal window,Lowest
Theme color support for OUTPUT Panel foreground text,Medium
Getting-Started native Interactive Playground,Lowest
Option to automatically close the task's terminal when the task is done,Lowest
polyfill nested workers for safari,Lowest
Open new search editor should copy settings from search tab,Lowest
Make search editor replace,Lowest
Allow to set a background image into the editor,Highest
Allow to await `vscode.diff`'s diff computation,Medium
Emmet commands not working on html files with unclosed tag,Lowest
Extend the diagnostics API to allow the diagnostic collections without of a URIs,Lowest
[json] Show default value from JSON schema in IntelliSense window,Lowest
Add breakpoint inside Search editor view,Lowest
"Option and Shortcut for  ""undo to saved (or) redo to saved (or) both""",Lowest
Ubuntu uses the moniker Rubbish Bin not Trash,Lowest
[TypeScript] Got confused when the Debug Console didn't automatically show ,Lowest
Add exists() function to FileSystemProvider,Lowest
"toggle comment line, switch current line state",Lowest
Enable select json block in terminal with double click,Lowest
Allow contributions to the Activity Bar context menu,Low
"Snippets ""description"" support i18n?",Highest
Prioritize snippets only in case of equal match.,Lowest
Alert the user when a dependency extension is unable to be downloaded,Lowest
Need predefined variable ${workspaceFolderDirname},Lowest
GitHub Enterprise support for the GitHub auth provider,Lowest
Allow new Webview to be placed in QuickPick,Lowest
Suggest for elements of remote.extensionKind would be helpful,Lowest
Disable info boxes but keep color picker enabled.,Lowest
SVG icons look different than codicons,Lowest
Close all/other tabs should close all saved tabs when some tabs are unsaved,Lowest
vscode does not respect `~/Library/KeyBindings/DefaultKeyBinding.dict` on macOS,Lowest
API to select character range of QuickPick input text value,Lowest
Open file in specific group based on file extension,Lowest
Include UserAgent string in Git commands ,Lowest
Terminal in an Column,Lowest
"Duplicate bot, include link to search for issues with same labels",Lowest
Retain terminal splits during window reload,Lowest
Allow word-part (camel-hump) navigation in editor symbol rename input box,Lowest
Should send a single FileWillRenameEvent instead of separate events when moving multiple files at once,Lowest
Redo last keyboard shortcut,Lowest
Allow extensions to contribute a default when clause to be used when a user add a key binding for the command,Lowest
Prompt to save untitled file before run/debug,Lowest
Error Icon on Manage (gear) when Settings json is formatted incorrectly,Lowest
split `editor.find.seedSearchStringFromSelection` to allow custom setting for project search,Lowest
Allow to disable thin srollbar for scrolling tabs,Low
Text areas should use native mouse cursor,Lowest
Move tabs to the right or left edge when vscode's width is in minimum size ..,High
Preserve command line arguments on subsequent windows even when changing folders,Lowest
"Can VSCode has ""Open in browser"" in the context menu when opening HTML files?",Lowest
Hard to copy texts from debug console.,Lowest
Support settind standard input for debugging,Lowest
double click on curly brace to select up to matching brace,Low
Consider adding a clear condition option,Lowest
Keep Editors Open menu choice in the editor '...' menu should be a checked option,Lowest
Auto save when using terminal,Lowest
Update progress message to Copying x of y,Lowest
Show detailed progress while copying single folder,Lowest
No Loading... while resolving tree item,Lowest
Should resolveTreeItem support cancellation?,Lowest
Show a confirmation dialog if window is asked to reload while copying the folder ,Lowest
Add option to disable rendering of problems in scrollbar,Lowest
Cache welcome views,Lowest
Apply enablement to all command links,Lowest
Uploading a folder into remote should show similar progress to web,Lowest
Allow setting cwd in compound tasks,Lowest
FeatureRequest: Compare: Simultaneous InlineView and SeparateView like BeyondCompare,Medium
Ability to Favorite Files,Lowest
Consider using a new CSS grammar: Support highlighting comments for JavaScript and CSS codes in HTML,Lowest
"Support a way to have nightly/insiders versions of extensions not activate if ""main"" extension is installed/enabled",Lowest
"Click on item in Call Hierarchy view should scroll to location of call, not location of calling function",Lowest
Command to clear ALL outputs,Lowest
Easier Execution of Command ID's,Lowest
Ability to turn off scrolling on Next Problem command if next problem is in view,Lowest
Wrap filenames in Explorer,Lowest
Windows 10 multi-desktop support,Lowest
Code Lens Should Respect Command's Enablement,Lowest
"Feature Request: Multiple Folder Selection to open a lot of instances, instead of creating a workspace",Lowest
folding end marker does not work on empty lines,Lowest
"Extension page in VS Code shows the latest fetched README version, not the installed one",Low
Support cancellation in bulk edit service,Lowest
Support changing default Symbol icons based on symbol information.,Lowest
Change rulers on Editor via extension API,Highest
Pass objects with commands.executeCommand when remote,Lowest
"""Go to Definition"" Should Navigate to an Existing Tab in Another ""Editor Group"" by Default",Lowest
Open folder in container directly from terminal/CLI,Lowest
Disable all breakpoints except one,Lowest
Add condition editing UI to breakpoint filters,Lowest
Better way to handle the timeout when using FileWillRenameEvent.waitUntil,Lowest
[css] :has(>child) selector not working in SCSS,Lowest
"""Go to Next Problem in Files"" does not respect ""files.exclude"" patterns",Lowest
"Don't show update notification every time I reload a window, but only once per boot",Lowest
[semantic highlighting] deprecate 'member' add 'method',Lowest
Reduce Line numbers panel width,Lowest
Add vscode.languages.registerSnippetProvider API,Lowest
Consider adopting a new Visual Basic textmate grammar,Lowest
echo -e '\a' should beep in the terminal?,Lowest
[themes] Generate Color Theme From Current Settings doesn't have all colors,Lowest
Only Show N QuickPick Items at a Time,Lowest
Undo jump is incorrect,Lowest
Make setting for larger tab scrollbar the default,Lowest
"Support for CSS3 speech properties voice-family, voice-pitch, voice-range and voice-stress",Lowest
"Add context keys for editor index and ""isLast"" state within group",Lowest
Support multiple cursors across multiple code editors,Lowest
code snippet on terminal,High
Can VSC open Pngs without the .png extension?,Lowest
Improve the way extensions are shown while using local/remote environments (WSL),Lowest
Visual Studio-like custom data visualizers,Highest
Add Drag and Drop events on WebviewViewProvider and Webview,Lowest
"Changing autofetch to a string config which has ""current"", ""all"" and",Lowest
"Functionality to ""Toggle Line Comment""",Lowest
I want to see all keyboard shortcuts that are not assigned so I know which shortcuts I can pick from,Lowest
Prompt file type after creating a new file,Lowest
On cell creation event for Notebook API,Lowest
Unintentionally quitting the terminal,Lowest
Debug Auto Attach: introduce an option to disable without hiding status bar item,Lowest
[html] move mdn link to the right,Lowest
Add ability to resize the editor hover,Lowest
[themes] wait applying settings until user data initialization is completed,Lowest
Support imports to accompany snippets,Lowest
selecting text highlights match only if the length is less than or equal to 200,Lowest
Pick up final release of TS 4.1,Lowest
Web: custom keyboard layout does not respect caps lock key mapping,Highest
Goto next problem does not go in sequence in certain scenarios,Lowest
Add explorer enableSwitchToEditorDragAndDrop setting,Lowest
"Undo/redo, bulk edit and onWill-file events",Lowest
Option to hide helper tasks in tasks.json,Low
CLI: Do not reach to Marketplace if extension is already installed unless forced,Lowest
Have `--max-memory` also be applied to the extension host,Lowest
Change functionality of split window command to move active focus window to the new pane,Lowest
Add git flow commands to source control,Lowest
Git - disable autocommit after (unconflicted) merge,Lowest
Allow specify json file as options of pickString input in launch.json,Lowest
Please support setting keyboard shortcut for refreshing all repositories in a workspace.,Lowest
Make PowerShell 7+ the default shell if it's available,Highest
Horizontal scrolling in output cells,Lowest
"Add command palette entry to allow access to ""scoped"" commands",Lowest
"Git: Allow option to ""fetch --all"" on autofetch",Lowest
API for tunnel providers to indicate that elevation is needed to create the tunnel,Lowest
[json] show already defined properties too,Lowest
Allow an output to go into full-screen mode,Lowest
"Provide an error code for ""User did not consent to login"" error",Lowest
Add new variable for tasks/debug `execDirname` similar to `execPath`,Lowest
Allow extensions to set the editor label for custom file system schemes,Lowest
Investigate removal of enable-proposed-api command line argument,Lowest
Align the `install` buttons in the recommendations dialog with the extensions viewlet,Lowest
Add presentation option for tasks not to auto-scroll on new output,Lowest
[Feature request] Make it possible to create a new GUID in a snippit.,Lowest
Allow to shorten the diff editor title,Lowest
Feature: Terminal button to restart last command,Highest
Font ligatures for terminal,Lowest
"Workbench: navigate active view by simple ""next/previous"" as well as existing ""up/down/left/right""",Lowest
Provide word wrap setting for diff editor,Lowest
enable users to define their own extension activation rules,Lowest
.ember-cli has incorrect language association,Lowest
vscode doesn't start with ulimits,Lowest
Support Color in Theme Icon References,Lowest
[rename on type] Disable quick suggestion during on-type-rename,Lowest
[rename on type] Should on-type-rename work across files,Lowest
Rails Snippets with Descriptions / Examples,Lowest
Release notes should have a visible way to opt-out,Lowest
Allow `TreeItem#command` to be resolved in `resolveTreeItem`,Lowest
Adopt `vscode.open` or `vscode.diff` in built-in extensions,Lowest
New extension API function for reloading file from disk,Lowest
"In my completion extention, I want to get the index in the suggestion panel when the user  accepts a completion item?",Lowest
Feature Request: Option to close files without saving,Lowest
Support --diff parameter with reading from stdin,Lowest
Support opening files passed as file descriptors similar to stdin,Lowest
No way to preview markdown results when adding a GitHub PR review comment,Lowest
Indentation support for prefixed lines,Lowest
Git: Investigate using `vscode.open` and `vscode.diff` as commands in scm,Lowest
"""Clear Cached Data"" Command",Lowest
getLangEnvVariable fallback to en_US.UTF-8 too early without checking locale -a,Lowest
Re-shows existing hover (if visible) on show action,Lowest
Close Debug on Session End,Lowest
Notebook provider can't be contributed twice.,Lowest
option to change background color of find matches in integrated terminal ,High
Feature request: Clone repository option on welcome page,Lowest
Feature request: Open Language Mode picker for new file,Lowest
Command to show excluded files,Lowest
Typescript language features: No error output if typescript language server fails at startup,Lowest
Add color of tab label,Lowest
onDidExecuteCommand for research purposes,Lowest
Adopt Linux Repo publishing v3,Lowest
[css] MDN references link not showing up for some CSS properties,Lowest
Pass telemetry enablement to extensions,Lowest
Problems view should show file finder rather than error notification on missing files,Lowest
Implement output.reverseAttributes for emmet snippets,Lowest
Allow `createWebviewPanel` to open tab in preview mode,Lowest
[css] General sibling combinator (~) not represented well on hover,Lowest
Support to start multiple debug sessions from a single launch config,Lowest
Dragging to select text on Peek window should not hide it,Medium
Allow extensions to contribute dynamic submenus,High
Make it possible to disable editors following the highlighted entry in the problems list,Lowest
Allow status items with error background color,Lowest
Manually clicking 'Check for updates' should show notification with release notes link,Lowest
CLI help: consider to separate --file-uri and --folder-uri,Lowest
distracting --goto,Lowest
Drag and drop folder from Explorer to Editor area in order to open all files,Lowest
[semantic highlighting] improve fallback scope for macro,Lowest
Adding underline style in VS Code editor,Lowest
Column-view (Miller columns) for the breadcrumbs ,Lowest
Support persisting splits in reconnected terminals across window reloads,Lowest
Hope to support window cloning of WSL,Lowest
Configurable home folder variable,Lowest
Implement Debugger Modules View,Lowest
Keep editors open instead of closing them when loading fails on startup,High
Keybindings for inputBoxes,Lowest
More granular controls for untitled tab labels,Lowest
Integrated terminal renders vertical gap between box characters,Lowest
"Add API to disambiguate ""deactivate()"" function in extension.ts",Lowest
can't use input variables in dependsOn of task,Lowest
Make relative paths from build output clickable in the terminal,Lowest
Improve the dynamic launch config UI,Lowest
Complete Function Calls Without Parameter Signature,Low
Rename implicit project settings for TypeScript,Lowest
Add setting to enable strict null checks in implicit JS files,Lowest
[json] UI for anyOf settings tooltips needs improvement,Lowest
Expose git.publish as a command through Git API,Lowest
Easily navigate to your most recently changed settings,High
Horizonal Scrolling through pointer on scroll bar,Lowest
VS Code Source Control support for filesystem path using ssh://,Highest
Debug API: expose threadId,Lowest
"List ""settings sync"" in account usages when signing out",Lowest
[linked editing] finalize LinkedEditingRangeProvider,Lowest
getLanguageConfiguration() API method is missing,Lowest
Announce when new cursor is added,Lowest
Support to skip over non-letter characters in a file search,Lowest
Add 'Peek definition/declaration/reference' option to the context menu of Peek window,Lowest
"Conflict resolution title labels left side as ""(in file)"" even when a FileSystemProvider is being used",Lowest
Add Extension Bisect,Lowest
[themes] theme names are all not localized,Lowest
Execute command via launch arguments.,Lowest
[html] hovers in embedded JavaScript should look like in TypeScript,Lowest
Git: Support `Git: Push Tags` command,Lowest
Provide a way for a CompletionItem to have both a color and documentation,Lowest
Provision to select multiple values from the list in task,Lowest
"Editors: revisit ""preview"" editors default behaviour",Lowest
Allow filter in quick navigation (Ctrl-Q),Lowest
Toggle visibility of Editor Groups,High
Double scrollbars in diff views should feel like 1 thing,Lowest
language server support for big files when largeFileOptimization is disabled,Lowest
Can't save workspace locally when using remote extension,Medium
Support allowlisting of snippets from extensions,Lowest
Improve user experience when settings sync requires client update,Lowest
"Highlight the row selected from the ""Find All Reference"" list",Lowest
Have a setting to disable inline details for suggestions,Lowest
Inform users about incompatibility while opting in to sync Insiders with Stable,Lowest
Preserve text input between 'Git: checkout to' and Quick Open providers,Lowest
Pinned Tabs: offer a mode where unpin icon is hidden,Lowest
Sync debug and editor hover fade out times,Lowest
Extensions - Improve notification dialog when installing an extension,Lowest
Disabling tooltips popping at the mouse hover during the debug mode,Lowest
There is no editorSuggestWidget.selectedForeground setting,Lowest
"""Go to Symbol in Workspace..."" - searching for symbols using more than one word/substring",Highest
Ability to select which nodes to autoexpand on follow in Code Outline,Lowest
Frozen editor groups: prevent editor group focus from causing subsequently opened files to open in a given editor group,Lowest
I would like to hear the contents of the line when the screen reader announces a symbol in the symbol reference list,Lowest
Add delete inside word action,Lowest
Support smart select in character markup,Lowest
Ask again if credentials don't work,Lowest
A task.json file which defines the tasks with scope limited to a remote connection.,Lowest
Multiple zoomlevel for different monitor resolutions.,High
Show current debug line in overview ruler,Lowest
Last run task does not on the top of the task list when config tasks in workspace.,High
Can we have an API to figure out the list of files Visual Studio Code is watching?,High
Git: Add Git Cache Remover,Lowest
New snippet variable: UUID_V4 (generate a random UUID),Highest
Support `alt+up` and `alt+down` to navigate SCM input history,Lowest
"Go to File causes error ""spawn ENAMETOOLONG""",Lowest
